text,label
email sent at 2012-01-04T13:19:16Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 8. length_chars 21.705. number_style small,0
email sent at 2012-02-16T20:10:06Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 7.011. number_style big,0
email sent at 2012-01-04T15:36:23Z. from_internal 1. to_multiple 0. cc_count 4. attachments 2. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 0.631. number_style none,1
email sent at 2012-01-04T17:49:52Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 2.454. number_style small,0
email sent at 2012-01-27T09:34:45Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 9. mentions_winner no. mentions_viagra 0. mentions_password 1. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 43. length_chars 41.623. number_style small,0
email sent at 2012-01-17T17:31:57Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 0.057. number_style small,0
email sent at 2012-03-18T04:18:55Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 0.809. number_style small,0
email sent at 2012-03-31T13:58:56Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 5.229. number_style small,0
email sent at 2012-01-11T01:57:54Z. from_internal 1. to_multiple 0. cc_count 1. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 1. subject_urgent 0. message_exclaims 22. length_chars 9.277. number_style small,0
email sent at 2012-01-07T19:29:16Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 23. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 3. length_chars 17.17. number_style small,0
email sent at 2012-02-23T00:57:02Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 4. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 13. length_chars 64.401. number_style small,0
email sent at 2012-02-04T23:26:09Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 2. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 10.368. number_style big,0
email sent at 2012-01-24T16:15:56Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 3. mentions_winner yes. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 42.793. number_style big,1
email sent at 2012-02-09T02:22:46Z. from_internal 1. to_multiple 1. cc_count 0. attachments 2. contains_image 0. contains_dollar 2. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 0.451. number_style small,1
email sent at 2012-03-09T18:46:12Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 21. length_chars 29.233. number_style small,0
email sent at 2012-01-12T16:17:53Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 10. length_chars 9.794. number_style small,0
email sent at 2012-01-31T19:44:22Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 2.139. number_style small,0
email sent at 2012-03-21T02:00:30Z. from_internal 1. to_multiple 0. cc_count 0. attachments 1. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 0.13. number_style none,1
email sent at 2012-01-03T19:39:06Z. from_internal 1. to_multiple 0. cc_count 1. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 8. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 4.945. number_style small,0
email sent at 2012-03-29T00:48:08Z. from_internal 1. to_multiple 1. cc_count 4. attachments 0. contains_image 0. contains_dollar 2. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 4. length_chars 11.533. number_style small,0
email sent at 2012-01-09T15:04:18Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 5.682. number_style small,0
email sent at 2012-01-14T10:07:03Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 3. length_chars 6.768. number_style small,0
email sent at 2012-03-24T15:00:57Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 1. subject_urgent 0. message_exclaims 0. length_chars 0.086. number_style none,0
email sent at 2012-01-12T21:43:42Z. from_internal 1. to_multiple 0. cc_count 2. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 3.07. number_style small,0
email sent at 2012-03-02T19:05:22Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 2. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 1. subject_urgent 0. message_exclaims 7. length_chars 26.52. number_style big,0
email sent at 2012-02-16T04:01:40Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 26.255. number_style small,0
email sent at 2012-02-09T13:51:43Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 8. length_chars 5.259. number_style small,0
email sent at 2012-01-23T14:03:19Z. from_internal 1. to_multiple 1. cc_count 5. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 2.78. number_style small,0
email sent at 2012-02-01T16:12:20Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 6. length_chars 5.864. number_style small,0
email sent at 2012-03-23T17:42:28Z. from_internal 1. to_multiple 1. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 4. length_chars 9.928. number_style small,0
email sent at 2012-02-14T13:43:48Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 2. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 25.209. number_style small,0
email sent at 2012-01-19T23:33:55Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 6.563. number_style big,0
email sent at 2012-01-21T17:35:48Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 24.599. number_style small,0
email sent at 2012-01-25T22:37:06Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 25.757. number_style small,0
email sent at 2012-03-06T17:03:41Z. from_internal 1. to_multiple 1. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 0.409. number_style small,0
email sent at 2012-03-25T21:08:44Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 9. length_chars 11.223. number_style big,0
email sent at 2012-02-15T00:17:09Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 3.778. number_style small,0
email sent at 2012-03-01T10:00:01Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 2. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 1.493. number_style none,0
email sent at 2012-02-10T18:34:42Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 8. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 9. length_chars 10.613. number_style big,0
email sent at 2012-01-12T21:44:54Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 0.493. number_style none,0
email sent at 2012-01-06T20:14:47Z. from_internal 1. to_multiple 1. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 4.415. number_style small,0
email sent at 2012-03-21T15:39:21Z. from_internal 1. to_multiple 0. cc_count 1. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 14.156. number_style small,0
email sent at 2012-02-13T20:19:36Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 18. length_chars 9.491. number_style small,0
email sent at 2012-01-25T22:18:37Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 24.837. number_style small,0
email sent at 2012-01-24T23:44:52Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 0.684. number_style small,0
email sent at 2012-02-29T23:36:55Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 13.502. number_style none,1
email sent at 2012-03-06T14:10:00Z. from_internal 1. to_multiple 1. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 2.789. number_style small,0
email sent at 2012-03-14T17:08:27Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 1.169. number_style small,0
email sent at 2012-02-10T16:27:48Z. from_internal 1. to_multiple 0. cc_count 1. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 8.937. number_style small,0
email sent at 2012-01-04T18:27:36Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 4. length_chars 15.829. number_style small,0
